id,name,type,address,phone,latitude,longitude,hours,distance,appointment_required
27,Cornerstone Community Kitchen,Soup Kitchen,"2815 S Ervay St, Dallas, TX 75215",(214) 630-5999,32.763103400501016,-96.7792424300465,Tue/Thu Lunch; Sat Breakfast,,No
28,Austin Street Center,Soup Kitchen,"2929 Hickory St, Dallas, TX 75226",(214) 428-4242,32.77909375,-96.77570691080524,Daily Meals (Shelter Guests Only),,No
29,Metrocrest Services,Food Pantry,"1145 N Josey Ln, Carrollton, TX 75006",(972) 446-2100,32.955401800000004,-96.89112111265254,Mon-Fri 8:30AM-5PM; Sat 9AM-1PM,,Yes
30,White Rock Center of Hope,Food Pantry,"10021 Garland Rd, Dallas, TX 75218",(214) 324-8996,32.8395721,-96.6959665,Mon-Fri 9AM-2PM,,Yes (Zip Code Restricted)
31,Catholic Charities (Santa Teresita),Food Pantry,"2601 Singleton Blvd, Dallas, TX 75212",(866) 223-7500,32.7792529,-96.86411259078943,Tue/Thu 9AM-11AM,,No
32,Salvation Army (Pleasant Grove),Food Pantry,"8341 Elam Rd, Dallas, TX 75217",(214) 398-6619,32.719477064782986,-96.6771143228196,Tue-Thu 9AM-12PM,,No
33,Salvation Army (Oak Cliff),Food Pantry,"1617 W Jefferson Blvd, Dallas, TX 75208",(214) 941-5911,32.7460428,-96.84750449365873,Mon-Fri 9AM-12PM,,No
34,Salvation Army (Garland),Food Pantry,"451 W Avenue D, Garland, TX 75040",(972) 272-4531,32.90884908333333,-96.63647566666667,Mon-Fri 9AM-12PM,,No
35,Salvation Army (Irving),Food Pantry,"250 E Grauwyler Rd, Irving, TX 75061",(972) 438-6553,32.82930886157126,-96.94279210316598,Mon-Fri 9AM-12PM,,No
36,Salvation Army (Arlington),Food Pantry,"712 W Abram St, Arlington, TX 76013",(817) 860-1836,32.7349299,-97.1156121591886,Mon-Fri 9AM-12PM,,No
37,Community Food Bank,Grocery Distribution,"3000 Galvez Ave, Fort Worth, TX 76111",(817) 924-3333,32.76182705,-97.30351644702645,Mon-Thu 9AM-1PM,,No
38,Tarrant Area Food Bank (Distribution),Grocery Distribution,"2600 Cullen St, Fort Worth, TX 76107",(817) 857-7100,32.76238575,-97.35354331852915,Tue/Thu 9AM-12PM (Mega Mobile Market),,No
39,Mission Arlington,Grocery Distribution,"210 W South St, Arlington, TX 76010",(817) 277-6620,32.734904359269514,-97.1086447002769,Mon-Sat 8:30AM-5PM,,No
40,Goodbar Senior Center,Senior Meals,"3000 Concord Dr, Mesquite, TX 75150",(972) 329-8705,32.80996124395358,-96.6437189532061,Mon-Fri 8AM-1PM (Congregate Meal),,Yes (60+)
41,Rutherford Senior Center,Senior Meals,"900 Rutherford Dr, Mesquite, TX 75149",(972) 204-4965,32.753948,-96.575384,Mon-Fri 8AM-1PM (Congregate Meal),,Yes (60+)
42,Evans Senior Center,Senior Meals,"1116 Hillcrest St, Mesquite, TX 75149",(972) 204-4971,32.77662359999999,-96.6154716600967,Mon-Fri 8AM-1PM (Congregate Meal),,Yes (60+)
43,Grand Prairie Summit (Senior),Senior Meals,"2975 Esplanade, Grand Prairie, TX 75052",(972) 237-4141,32.69954763716477,-97.0279095378302,Mon-Fri 11:30AM (Congregate Meal),,Yes (60+)
44,Exline Recreation Center (CACFP),Youth Supper (CACFP),"2525 Pine St, Dallas, TX 75215",,32.7568889,-96.76062530405909,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
45,Eloise Lundy Rec Center (CACFP),Youth Supper (CACFP),"1229 Reverend CBT Smith St, Dallas, TX 75203",,32.75570418428953,-96.80696638208863,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
46,Kiest Park Rec Center (CACFP),Youth Supper (CACFP),"3080 S Hampton Rd, Dallas, TX 75224",,32.710378240000004,-96.8568913,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
47,Thurgood Marshall Rec Center (CACFP),Youth Supper (CACFP),"5150 Mark Trail Way, Dallas, TX 75232",,32.68346792004295,-96.85527605195556,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
48,Singing Hills Rec Center (CACFP),Youth Supper (CACFP),"6805 Patrol Way, Dallas, TX 75241",,32.66687355,-96.78923367863686,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
49,Tommie Allen Rec Center (CACFP),Youth Supper (CACFP),"7071 Bonnie View Rd, Dallas, TX 75241",,32.6594871,-96.75312036218492,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
50,Fretz Park Rec Center (CACFP),Youth Supper (CACFP),"6950 Belt Line Rd, Dallas, TX 75254",,32.94986897826087,-96.78572526086955,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
51,Irving Cares,Food Pantry,"440 S Nursery Rd #101, Irving, TX 75060",(972) 721-9181,32.8099052,-96.9340535,Mon 9AM-12PM; Tue/Thu 9AM-12PM & 1PM-3:30PM,,Yes (Irving Residents)
52,Crisis Ministries Irving,Food Pantry,"114 E 2nd St, Irving, TX 75060",(972) 254-0973,32.81274814285714,-96.94590728571428,Mon/Tue/Wed/Fri 10AM-1:15PM; Sat 10AM-12PM,,No
53,Heritage Senior Center (Irving),Senior Meals,"200 S Jefferson St, Irving, TX 75060",(972) 721-2496,32.8127,-96.944813,Mon-Fri 11:30AM (Congregate Meal),,Yes (60+)
54,Antioch Christian Church Pantry,Food Pantry,"2041 W Walnut Hill Ln, Irving, TX 75038",(972) 255-6336,32.86865109787238,-96.97190640855516,2nd & 4th Sat 9AM-11AM,,No
55,Good Samaritans of Garland,Food Pantry,"214 N 12th St, Garland, TX 75040",(972) 276-2263,32.91395795652174,-96.64483708695651,Mon-Fri 9AM-3:30PM,,Yes (Garland/Rowlett/Sachse)
56,Five Loaves Food Pantry,Food Pantry,"1002 Castle Dr, Garland, TX 75040",(972) 272-3421,32.922036969849245,-96.6169701959799,Tue/Thu 10AM-12PM; Thu 5PM-7PM; Sat 10AM-12PM,,No
57,Salvation Army Garland (Fresh Food),Grocery Distribution,"451 W Avenue D, Garland, TX 75040",(972) 272-4531,32.90884908333333,-96.63647566666667,Mon-Fri 10AM-11:30AM (Fresh Food),,No
58,Granger Recreation Center (Garland),Youth Supper (CACFP),"1310 W Avenue F, Garland, TX 75040",,32.906786326530614,-96.64649102040816,After School Meal (School Days),,No (Youth 18-)
59,Fields Recreation Center (Garland),Youth Supper (CACFP),"1701 Dairy Rd, Garland, TX 75040",,32.897294926174496,-96.622304,After School Meal (School Days),,No (Youth 18-)
60,Carver Senior Center (Garland),Senior Meals,"222 Carver St, Garland, TX 75040",(972) 205-3335,32.90701166666667,-96.62849911111111,Mon-Fri 8AM-1PM (Congregate Meal),,Yes (60+)
61,Lavon Drive Baptist Church Pantry,Food Pantry,"1520 Lavon Dr, Garland, TX 75040",(972) 272-7557,32.92642024078065,-96.62733096215116,Wed 6PM-7:30PM,,No
62,Lee Park Recreation Center (Irving),Youth Supper (CACFP),"3000 Pamela Dr, Irving, TX 75062",,32.847898,-96.965167,After School Meal (School Days),,No (Youth 18-)
63,Northwest Recreation Center (Irving),Youth Supper (CACFP),"2800 Cheyenne St, Irving, TX 75062",,32.8440632,-97.0016235,After School Meal (School Days),,No (Youth 18-)
64,Senter Park Recreation Center (Irving),Youth Supper (CACFP),"901 Senter Rd, Irving, TX 75060",,32.804991,-96.947029,After School Meal (School Days),,No (Youth 18-)
65,Salvation Army Irving (Hot Meal),Hot Meal,"250 E Grauwyler Rd, Irving, TX 75061",(972) 438-6553,32.82930886157126,-96.94279210316598,Wed/Fri 11AM (Community Lunch),,No
66,Hope Clinic of Garland,Grocery Distribution,"800 S 6th St, Garland, TX 75040",(469) 800-2500,32.9058778,-96.63757597844474,Periodic health/food events,,No
67,Cornerstone Assistance Network,Food Pantry,"3500 Noble Ave, Fort Worth, TX 76111",(817) 632-6000,32.76947335,-97.29694076885627,Mon-Fri 9AM-4PM,,Yes
68,Tarrant Area Food Bank West,Grocery Distribution,"112 Winner's Circle, Weatherford, TX 76087",(817) 857-7100,32.7589648,-97.7970748,Tue/Thu 9AM-12PM,,No
69,Arlington Charities,Food Pantry,"811 Secretary Dr, Arlington, TX 76015",(817) 275-1511,32.70306108563213,-97.11771766207043,Mon-Fri 9AM-1PM,,Yes (Arlington Residents)
70,Mission Arlington (Medical Clinic),Grocery Distribution,"210 W South St, Arlington, TX 76010",(817) 277-6620,32.734904359269514,-97.1086447002769,Mon-Sat 8:30AM-5PM,,No
71,Sharing Life (Hub),Grocery Distribution,"3795 W Emporium Cir, Mesquite, TX 75150",(972) 285-5819,32.81487531544929,-96.62571698991593,Tue/Thu 9AM-1PM (Drive-Thru),,No
72,Duncanville Outreach Ministry,Food Pantry,"202 E Cherry St, Duncanville, TX 75116",(972) 296-4986,32.652777349999994,-96.90509752476075,Mon-Fri 9:30AM-12:30PM,,Yes (Zip Code Restricted)
73,Cedar Hill Food Pantry,Food Pantry,"403 Houston St, Cedar Hill, TX 75104",(972) 293-2822,32.58568720408163,-96.9565938367347,Sat 9AM-12PM,,Yes (Cedar Hill Residents)
74,Grand Prairie United Charities,Food Pantry,"1417 Densman St, Grand Prairie, TX 75051",(972) 262-2014,32.735236150000006,-96.98450471128456,Mon-Thu 9AM-1PM,,Yes
75,Desoto Food Pantry,Food Pantry,"302 N Hampton Rd, DeSoto, TX 75115",(972) 223-4050,32.595785114093964,-96.85724211409396,Mon/Thu 9AM-12PM,,Yes (Desoto Residents)
76,Frisco Family Services,Food Pantry,"9125 Dogwood St, Frisco, TX 75033",(972) 335-9495,33.15122015,-96.81846897485578,Mon/Tue/Thu/Fri 9AM-5PM; Wed 9AM-6PM,,Yes (Frisco/ISD Only)
77,Community Food Pantry of McKinney,Food Pantry,"307 Smith St, McKinney, TX 75069",(972) 547-4404,33.2032022,-96.6127445,Mon-Fri 1PM-3PM,,Yes (McKinney Only)
78,Amazing Grace Food Pantry,Food Pantry,"1711 Parker Rd, Wylie, TX 75098",(972) 292-7241,33.03966052088093,-96.55042857963466,Tue 10AM-2PM; Thu 6PM-8PM; Sat 8AM-12PM,,No
79,Arlington Urban Ministries,Food Pantry,"701 Dugan St, Arlington, TX 76010",(817) 861-8585,32.73416,-97.1005,Mon-Thu 9AM-5PM,,Yes (Arlington Residents)
80,Water From The Rock,Food Pantry,"1015 Gibbins Rd, Arlington, TX 76011",(817) 860-9702,32.75037357575758,-97.11124944444444,Tue-Thu 10AM-12PM,,No
81,Grand Prairie Food and Clothing Co-op,Food Pantry,"118 NE 4th St, Grand Prairie, TX 75050",(972) 264-8540,32.74596548979592,-96.99982146938775,Mon-Thu 9AM-11AM,,Yes (Zip Code Restricted)
82,Community Lifeline Center,Food Pantry,"1601 N Waddill St, McKinney, TX 75069",(972) 542-0020,33.212456,-96.625856,Mon-Fri 9AM-4PM,,Yes (Zip Code Restricted)
83,Allen Community Outreach,Food Pantry,"801 E Main St, Allen, TX 75002",(972) 727-9131,33.10024498979592,-96.65183417346938,Mon-Fri 8:30AM-4:30PM,,Yes (Allen/Lucas/Fairview)
84,The Storehouse (Seven Loaves),Food Pantry,"1401 Mira Vista Blvd, Plano, TX 75093",(469) 252-4015,33.021571,-96.819331,Thu 4PM-7PM; Sat 9AM-12PM,,No
85,Grace Bridge,Grocery Distribution,"402 S Oklahoma Dr, Celina, TX 75009",(214) 425-9423,33.32023524489796,-96.78380506122448,Sat 9AM-11AM (Drive-Thru),,No
86,Sam Johnson Recreation Center (Plano),Senior Meals,"401 W 16th St, Plano, TX 75075",(972) 941-7155,33.022964,-96.712127,Mon-Fri 11:30AM (Congregate Meal),,Yes (60+)
87,Eunice Activity Center (Arlington),Senior Meals,"1000 Eunice St, Arlington, TX 76010",(817) 277-8091,32.7324,-97.095249,Mon-Fri 11:30AM (Congregate Meal),,Yes (60+)
88,Douglass Community Center (Plano),Youth Supper (CACFP),"1111 H Ave, Plano, TX 75074",,33.01378576511936,-96.70372891722803,Mon-Fri 3:30PM-4:30PM (School Days),,No (Youth 18-)
89,Elzie Odom Athletic Center,Youth Supper (CACFP),"1601 NE Green Oaks Blvd, Arlington, TX 76006",,32.78084,-97.087023,Mon-Fri 4PM-5PM (School Days),,No (Youth 18-)
90,The Manna House,Food Pantry,"3241A Robinson Rd, Midlothian, TX 76065",(972) 775-1800,32.4711899,-96.9540249,Tue-Fri 9AM-2PM,,Yes (Ellis County)
91,Waxahachie Care,Food Pantry,"1208 Ferris Ave, Waxahachie, TX 75165",(972) 923-2273,32.3998138,-96.8428589,Mon-Thu 8:30AM-12:30PM,,Yes (Residents)
92,St. Philip's Community Pantry,Food Pantry,"1600 Pennsylvania Ave, Dallas, TX 75215",(214) 421-5221,32.75954845,-96.77492229545646,Wed 8:30AM-11:30AM,,No
93,Mesquite Church of Christ Pantry,Food Pantry,"400 W Davis St, Mesquite, TX 75149",(972) 288-7637,32.76574875,-96.60273152678784,Wed 10AM-12PM,,No
94,Shiloh Terrace Baptist Church,Food Pantry,"9810 La Prada Dr, Dallas, TX 75228",(972) 857-9707,32.822216299999994,-96.6646618265625,Mon 9AM-12PM,,No
95,Golden Gate Missionary Baptist,Food Pantry,"1101 Sabine St, Dallas, TX 75203",(214) 943-5010,32.755799,-96.808212,Tue/Thu 9AM-11AM,,No
96,Salvation Army Lewisville,Hot Meal,"880 Fox Ave, Lewisville, TX 75067",(972) 353-9400,33.046056,-96.996784,Mon-Fri 12PM-1PM (Community Kitchen),,No
97,Christian Community Action (CCA),Food Pantry,"200 S Mill St, Lewisville, TX 75057",(972) 219-4300,33.044798717647055,-96.994062,Mon-Fri 9AM-5PM,,Yes (Appt Only)
98,Friendship House (First Baptist),Food Pantry,"620 W Avenue B, Garland, TX 75040",(972) 272-1010,32.910758244897956,-96.638031,Mon-Fri 9:30AM-3PM,,Yes (Garland Residents)
99,Grace Bridge (Frisco),Food Pantry,"9300 Wade Blvd, Frisco, TX 75035",(214) 425-9423,33.1291942,-96.8016628,Check website for pop-up schedule,,No
100,Streetside Showers (Meals),Hot Meal,"902 E 2nd St, Irving, TX 75060",,32.812781241677094,-96.93993040918552,Sat 10AM-1PM (Meals with showers),,No
101,Pleasant Grove Food Pantry,Food Pantry,"1331 Bayonne St, Dallas, TX 75212",,32.7840,-96.8520,Check locally for hours,,No
102,Vickery Meadow Food Pantry,Food Pantry,"8448 Walnut Hill Ln, Dallas, TX 75231",,32.8790,-96.7300,Check locally for hours,,No
103,Oak Cliff Churches for Emergency Aid (OCCEA),Food Pantry,"123 S Llewellyn Ave, Dallas, TX 75208",,32.7450,-96.8320,Emergency food assistance (Call for hours),,No
104,Dallas West Church of Christ,Food Pantry,"3510 N Hampton Rd, Dallas, TX 75212",,32.8010,-96.8640,Community pantry (Call for hours),,No
